                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.34457,                0.25615,                 0.8739,                0.99555,                      1,                  0.995,                0.90971,                0.45655,                0.23524,                0.87646,              0.0004754,              0.0004754,              0.0004754
                     80,                0.33998,                0.24785,                0.89153,                0.99563,                      1,                  0.995,                0.90212,                0.46844,                0.24624,                0.88655,              0.0004556,              0.0004556,              0.0004556
                     81,                0.32255,                0.23931,                0.87238,                      1,                      1,                  0.995,                 0.8938,                0.51875,                0.25493,                0.91718,              0.0004358,              0.0004358,              0.0004358
                     82,                0.33115,                0.25222,                0.87775,                      1,                      1,                  0.995,                0.88122,                0.57929,                0.28114,                0.96417,               0.000416,               0.000416,               0.000416
                     83,                0.32639,                0.26452,                0.88557,                0.99561,                      1,                  0.995,                0.90062,                0.54441,                0.27734,                 0.9334,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.3273,                0.25397,                0.89566,                0.99544,                      1,                  0.995,                 0.8912,                0.51297,                0.25614,                0.91463,              0.0003764,              0.0003764,              0.0003764
                     85,                0.33104,                0.24893,                0.89332,                0.99542,                      1,                  0.995,                 0.8912,                0.49924,                0.24124,                0.90765,              0.0003566,              0.0003566,              0.0003566
                     86,                0.31708,                0.22805,                0.89905,                0.99548,                      1,                  0.995,                0.89889,                0.48998,                0.25781,                0.90096,              0.0003368,              0.0003368,              0.0003368
                     87,                0.35277,                0.26088,                0.90923,                 0.9955,                      1,                  0.995,                0.89332,                0.50156,                0.24525,                 0.9086,               0.000317,               0.000317,               0.000317
                     88,                 0.3276,                 0.2355,                0.89542,                      1,                      1,                  0.995,                 0.8961,                0.49715,                0.25185,                0.90204,              0.0002972,              0.0002972,              0.0002972
                     89,                0.35401,                0.25217,                0.91469,                      1,                      1,                  0.995,                0.91712,                0.49479,                0.23403,                0.89926,              0.0002774,              0.0002774,              0.0002774
                     90,                0.31201,                0.22895,                0.89488,                      1,                      1,                  0.995,                0.91712,                 0.4797,                0.23054,                 0.8943,              0.0002576,              0.0002576,              0.0002576
                     91,                0.24036,                 0.2142,                0.82615,                      1,                      1,                  0.995,                0.90702,                0.48368,                0.21571,                0.89319,              0.0002378,              0.0002378,              0.0002378
                     92,                0.20631,                0.19295,                0.79681,                 0.9955,                      1,                  0.995,                0.91151,                 0.4956,                0.23939,                0.90392,               0.000218,               0.000218,               0.000218
                     93,                0.21844,                0.18125,                0.83219,                 0.9955,                      1,                  0.995,                0.91648,                0.50292,                0.23995,                0.90907,              0.0001982,              0.0001982,              0.0001982
                     94,                0.23445,                0.20517,                0.82648,                0.99548,                      1,                  0.995,                0.88966,                0.50326,                0.25061,                0.90917,              0.0001784,              0.0001784,              0.0001784
                     95,                0.21901,                0.19474,                0.81592,                      1,                      1,                  0.995,                0.91645,                0.48653,                0.21855,                0.90215,              0.0001586,              0.0001586,              0.0001586
                     96,                0.22219,                0.19751,                0.83483,                0.99549,                      1,                  0.995,                0.92227,                0.46144,                0.22308,                0.88847,              0.0001388,              0.0001388,              0.0001388
                     97,                0.19215,                0.18187,                0.80894,                0.99546,                      1,                  0.995,                 0.9226,                0.45869,                0.21855,                0.88532,               0.000119,               0.000119,               0.000119
                     98,                0.19738,                0.17122,                0.81511,                0.99548,                      1,                  0.995,                  0.921,                  0.459,                0.22076,                0.88424,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.1995,                0.17219,                0.81178,                0.99555,                      1,                  0.995,                0.91128,                0.46466,                0.22309,                 0.8863,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.1938,                0.17341,                0.79799,                0.99557,                      1,                  0.995,                0.90982,                0.47204,                0.21946,                0.89033,               5.96e-05,               5.96e-05,               5.96e-05
